"Id, Faculty",Program,Career,Year,Traject,Course
96,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Polymeren: synthese en moleculaire karakterisering
97,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Protein Engineering
98,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,"Proteinechemie, Functie en Structuur"
99,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Bespreking geintegreerd practicum structuur en functie van eiwitten
100,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Biochemische ingenieurstechniek
101,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Food chemistry
102,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Industriele microbiologie
103,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Inleiding tot het Bedrijfsbeheer I
104,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Levensmiddelenmicrobiologie en -ecologie
105,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Levensmiddelentechnologie
106,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Moleculaire technologie
107,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Protein Engineering
108,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,"Proteinechemie, Functie en Structuur"
109,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Voedingsbiotechnologie,Toegepaste fysicochemie
110,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,Bioinformatica en systeembiologie
111,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,Business Aspects of Biotechnology
112,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,Chemische procesregeling
113,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,Downstream processing
114,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,High Throughput Techniques
115,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Katalyse en biomoleculair ontwerp,"Industriele biotechnologie, inclusief Intellectueel Eigendomsrecht en Industriele Seminaries"
116,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,Bioinformatica en systeembiologie
117,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,Business Aspects of Biotechnology
118,Faculteit Wetenschappen,Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,MA,2,2 M Bio-ingenieur Chemie en bioprocestechnologie/Voedingsbiotechnologie,Chemische procesregeling
